isolate	symptom	reference
AF483470	mild	This study
EF192393	mild	This study
EF192394	mild	This study
EF580923	mild	This study
EU879915	mild	This study
EU879916	mild	This study
JQ806338	mild	This study
KF418767	mild	This study
KR611355	mild	This study (reference standard)
KT987925	mild	This study
LC388852	mild	This study
LC388854	mild	This study
M25199	mild	This study
MG450357	mild	This study
Y09575	mild	This study
AF454395	moderate	This study
KF683200	moderate	This study
KJ857496	moderate	This study
KR611360	moderate	This study
M88678	moderate	This study
X17268	moderate	This study
GQ853461	moderate	This study
EU879913	moderate	Matsushita et al., 2021
AJ634596	severe	This study
AY518939	severe	This study (reference standard)
AY532801	severe	This study
DD220185	severe	This study
FR851463	severe	This study
JX280944	severe	This study
U23060	severe	This study
X58388	severe	This study
X76846	severe	This study
X97387	severe	This study
Y09383	severe	This study
LC523672	severe	Matsushita et al., 2021
LC523675	severe	Matsushita et al., 2021
LC523676	severe	Matsushita et al., 2021
